SIPRI Transfers Database 


 Database search results for buyer 'All Countries' and seller  'All Countries' and the years from 2011 to 2021 - (created: 11-03-2023)

Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
50280;United States;South Korea;JDAM;guided bomb;Missiles;2008;Yes;140;Yes;2011;Yes;New;0.0200;0.0200;2.8;No
39941;China;Iran;Type-86;APC;Armoured vehicles;1996;Yes;10;Yes;2011;Yes;New;0.3000;0.3000;3;Yes
51055;Germany;Venezuela;MTU-1163;diesel engine;Engines;2006;Yes;16;No;2011;No;New;2.0000;2.0000;32;No
31150;Germany;Israel;Dolphin/Type-800;submarine;Ships;2006;No;1;No;2014;No;New;300.0000;300.0000;300;No
34738;Germany;India;MB-838 Ka-501;diesel engine;Engines;2000;Yes;20;Yes;2012;No;New;0.3000;0.3000;6;No
35684;Russia;Viet Nam;Project-10412/Svetlyak;patrol craft;Ships;2007;No;2;No;2012;No;New;24.0000;24.0000;48;No
38344;United States;Mexico;APS-143(V);MP aircraft radar;Sensors;2010;No;1;No;2011;No;New;2.5000;2.5000;2.5;No
51233;Canada;United States;Piranha-3;APC;Armoured vehicles;2009;No;300;Yes;2011;No;New;0.3100;0.3100;93;Yes
50070;United States;Iraq;C-130J-30 Hercules;transport aircraft;Aircraft;2009;No;3;No;2012;No;New;37.5000;37.5000;112.5;No
52882;Italy;Turkey;Comandante;OPV;Ships;2007;No;4;Yes;2012;No;New;40.0000;40.0000;160;Yes
54279;United Kingdom;United States;Pegasus;turbofan;Engines;2011;No;60;Yes;2012;No;Second hand;3.0000;1.2;72;No
31909;South Korea;Turkey;KT-1 Woong Bee;trainer aircraft;Aircraft;2007;No;15;Yes;2012;No;New;1.9000;1.9000;28.5;Yes
55101;United States;Thailand;Saab-340;transport aircraft;Aircraft;2012;No;1;No;2012;No;Second hand;7.0000;2.8;2.8;No
50282;United States;South Korea;AGM-65 Maverick;ASM;Missiles;2009;No;35;Yes;2011;Yes;New;0.1500;0.1500;5.25;No
50116;United States;United Kingdom;AGM-114K HELLFIRE;anti-tank missile;Missiles;2007;No;52;Yes;2012;No;New;0.0500;0.0500;2.6;No
35493;United States;Turkey;APG-68;combat ac radar;Sensors;2005;Yes;4;Yes;2011;No;New;2.0000;2.0000;8;No
31413;United States;Canada;RIM-162 ESSM;SAM;Missiles;2001;No;20;Yes;2012;Yes;New;0.4000;0.4000;8;Yes
50692;Switzerland;Brazil;Piranha-3;APC;Armoured vehicles;2008;No;3;Yes;2011;No;New;0.3100;0.3100;0.93;No
54410;China;Pakistan;LS-3;guided bomb;Missiles;2008;Yes;70;Yes;2012;Yes;New;0.0200;0.0200;1.4;No
52240;China;Pakistan;WMD-7;aircraft EO system;Sensors;2008;Yes;10;Yes;2012;Yes;New;1.0000;1.0000;10;No
54411;China;Pakistan;LT-2;guided bomb;Missiles;2008;Yes;70;Yes;2012;Yes;New;0.0200;0.0200;1.4;No
52375;Germany;Chile;Marder-1A3;IFV;Armoured vehicles;2009;Yes;7;Yes;2011;Yes;Second hand;1.7000;0.68;4.76;No
53910;United States;Australia;Bell-429 GlobalRanger;light helicopter;Aircraft;2011;No;3;No;2012;No;New;2.7000;2.7000;8.1;No
52543;Canada;United States;Piranha-3;APC;Armoured vehicles;2010;No;41;Yes;2011;No;New;0.3100;0.3100;12.71;Yes
54358;United States;Australia;CH-47D Chinook;transport helicopter;Aircraft;2011;No;2;No;2012;No;Second hand;18.0000;7.2;14.4;No
33895;Israel;Brazil;EL/M-2022;MP aircraft radar;Sensors;2005;Yes;3;No;2012;No;New;2.5000;2.5000;7.5;No
52500;United States;Saudi Arabia;AIM-9X Sidewinder;BVRAAM;Missiles;2011;Yes;10;Yes;2012;No;New;0.1800;0.1800;1.8;No
29639;United States;Brazil;P-3A Orion;ASW aircraft;Aircraft;2002;No;2;No;2011;No;Second hand;28.0100;11.204;22.408;No
33895;Israel;Brazil;EL/M-2022;MP aircraft radar;Sensors;2005;Yes;2;No;2011;No;New;2.5000;2.5000;5;No
29639;United States;Brazil;P-3A Orion;ASW aircraft;Aircraft;2002;No;3;No;2012;No;Second hand;28.0100;11.204;33.612;No
54309;France;Chile;CDIC;landing craft;Ships;2011;No;1;No;2011;No;Second hand;14.3000;5.72;5.72;No
52736;France;Chile;Foudre;AALS;Ships;2011;No;1;No;2011;No;Second hand;100.0000;40;40;No
23773;Sweden;South Africa;JAS-39C Gripen;FGA aircraft;Aircraft;2000;Yes;4;Yes;2012;No;New;26.3000;26.3000;105.2;No
37677;United States;South Africa;F404;turbofan;Engines;2000;Yes;4;Yes;2012;No;New;2.2000;2.2000;8.8;No
52635;China;Laos;MA60;transport aircraft;Aircraft;2010;No;2;No;2012;No;New;7.5000;7.5000;15;No
55151;Canada;Laos;PW100;turboprop/turboshaft;Engines;2010;Yes;4;Yes;2012;No;New;1.0000;1.0000;4;No
51852;United States;Sweden;S-70/UH-60L;helicopter;Aircraft;2011;No;9;Yes;2012;No;New;7.2500;7.2500;65.25;No
55480;France;Burkina Faso;Tétras;light aircraft;Aircraft;2012;No;3;No;2012;No;New;0.1000;0.1000;0.3;No
54985;Ukraine;Sudan;Malyutka;anti-tank missile;Missiles;2011;Yes;42;Yes;2011;No;Second hand;0.0100;0.004;0.168;No
52720;Germany;Ghana;Type-143;patrol craft;Ships;2010;No;2;No;2012;No;Second hand but modernized;18.0000;11.88;23.76;No
51461;United States;Mexico;S-70/UH-60L;helicopter;Aircraft;2010;No;3;No;2011;No;New;7.2500;7.2500;21.75;No
50904;France;Mexico;EC725 Super Cougar;transport helicopter;Aircraft;2009;No;2;No;2011;No;New;7.5000;7.5000;15;No
54577;Russia;Iran;1L222 Avtobaza-M;air search system;Sensors;2011;Yes;2;Yes;2011;No;New;9.0000;9.0000;18;No
50982;United States;Oman;C-130J-30 Hercules;transport aircraft;Aircraft;2009;No;1;No;2012;No;New;37.5000;37.5000;37.5;No
55148;Sweden;Singapore;Giraffe AMB;air search radar;Sensors;2010;Yes;2;Yes;2012;Yes;New;7.5000;7.5000;15;No
54297;United States;Jordan;C-130E Hercules;transport aircraft;Aircraft;2010;Yes;2;No;2011;No;Second hand;24.0000;9.6;19.2;No
53856;United States;Saudi Arabia;King Air-350 ISR;AGS aircraft;Aircraft;2009;Yes;2;No;2011;No;New;11.0000;11.0000;22;No
50110;France;Saudi Arabia;Damocles;aircraft EO system;Sensors;2007;Yes;5;Yes;2011;Yes;New;1.0000;1.0000;5;No
54345;Germany;Saudi Arabia;Luna;UAV;Aircraft;2010;No;5;Yes;2011;No;New;0.1000;0.1000;0.5;No
54345;Germany;Saudi Arabia;Luna;UAV;Aircraft;2010;No;5;Yes;2012;Yes;New;0.1000;0.1000;0.5;No
39634;United States;Pakistan;T-37B;trainer aircraft;Aircraft;2003;No;10;Yes;2012;No;Second hand;1.8000;0.72;7.2;No
39634;United States;Pakistan;T-37B;trainer aircraft;Aircraft;2003;No;10;Yes;2011;No;Second hand;1.8000;0.72;7.2;No
33696;Italy;Pakistan;Spada-2000;SAM system;Air defence systems;2007;No;3;Yes;2011;No;New;16.0000;16.0000;48;No
53559;United States;UAE;M-ATV;APV;Armoured vehicles;2011;No;50;Yes;2011;Yes;New;0.2500;0.2500;12.5;No
51401;United States;United Kingdom;King Air Maritime;MP aircraft;Aircraft;2008;Yes;4;No;2011;No;New;7.5000;7.5000;30;No
51064;Russia;Syria;K-300P Bastion-P;coastal defence system;Sensors;2007;No;1;No;2011;No;New;15.0000;15.0000;15;No
54339;Iran;Syria;C-801/C-802 CDS;coastal defence system;Sensors;2010;Yes;1;Yes;2011;No;New;15.0000;15.0000;15;No
50544;United States;UAE;S-70/UH-60L;helicopter;Aircraft;2010;No;15;Yes;2011;No;New;7.2500;7.2500;108.75;No
54340;Iran;Syria;C-802;anti-ship missile;Missiles;2010;Yes;25;Yes;2011;No;New;0.9000;0.9000;22.5;No
54222;Austria;Turkmenistan;Survivor-2;APC;Armoured vehicles;2010;Yes;10;Yes;2011;Yes;New;0.2300;0.2300;2.3;No
38167;Russia;Viet Nam;K-300P Bastion-P;coastal defence system;Sensors;2007;No;1;No;2011;No;New;15.0000;15.0000;15;No
53001;United States;Afghanistan;ASV-150/M-1117;APC;Armoured vehicles;2011;No;18;Yes;2011;No;New;0.3000;0.3000;5.4;No
53138;United States;Japan;Enstrom-480;light helicopter;Aircraft;2010;No;8;Yes;2012;No;New;0.4000;0.4000;3.2;No
